"time","output","temperature_room","temperature_labnode"
"2022-09-21 01:13:52+00",877,296.12399999999997,306.2
"2022-09-21 01:13:54+00",877,296.1425,306.2
"2022-09-21 01:13:56+00",877,296.13,306.195
"2022-09-21 01:13:58+00",877,296.13875,306.2
"2022-09-21 01:14:00+00",877,296.145,306.205
"2022-09-21 01:14:02+00",877,296.13,306.205
"2022-09-21 01:14:04+00",877,296.13599999999997,306.195
"2022-09-21 01:14:06+00",877,296.1328571428572,306.195
"2022-09-21 01:14:08+00",877,296.1471428571428,306.18
"2022-09-21 01:14:10+00",877,296.14500000000004,306.205
"2022-09-21 01:14:12+00",877,296.13599999999997,306.19
"2022-09-21 01:14:14+00",877,296.1325,306.20000000000005
"2022-09-21 01:14:16+00",877,296.1414285714286,306.2
"2022-09-21 01:14:18+00",877,296.12999999999994,306.205
"2022-09-21 01:14:20+00",877,296.15333333333336,306.2
"2022-09-21 01:14:22+00",877,296.146,306.205
"2022-09-21 01:14:24+00",877,296.1414285714286,306.205
"2022-09-21 01:14:26+00",877,296.14,306.21
"2022-09-21 01:14:28+00",877,296.154,306.205
"2022-09-21 01:14:30+00",877,296.1466666666667,306.205
"2022-09-21 01:14:32+00",877,296.15,306.22
"2022-09-21 01:14:34+00",877,296.14285714285717,306.21500000000003
"2022-09-21 01:14:36+00",877,296.1433333333334,306.22
"2022-09-21 01:14:38+00",877,296.13000000000005,306.23
"2022-09-21 01:14:40+00",877,296.1385714285714,306.24
"2022-09-21 01:14:42+00",877,296.1466666666667,306.23
"2022-09-21 01:14:44+00",877,296.135,306.22
"2022-09-21 01:14:46+00",877,296.13199999999995,306.22
"2022-09-21 01:14:48+00",877,296.13,306.245
"2022-09-21 01:14:50+00",877,296.14,306.22
"2022-09-21 01:14:52+00",877,296.142,306.24
"2022-09-21 01:14:54+00",877,296.13142857142856,306.24
"2022-09-21 01:14:56+00",877,296.135,306.22
"2022-09-21 01:14:58+00",877,296.125,306.24
"2022-09-21 01:15:00+00",877,296.14,306.25
"2022-09-21 01:15:02+00",877,296.1357142857143,306.245
"2022-09-21 01:15:04+00",877,296.13800000000003,306.25
"2022-09-21 01:15:06+00",877,296.13999999999993,306.25
"2022-09-21 01:15:08+00",877,296.14,306.26
"2022-09-21 01:15:10+00",877,296.15000000000003,306.255
"2022-09-21 01:15:12+00",877,296.1266666666667,306.255
"2022-09-21 01:15:14+00",877,296.13599999999997,306.26
"2022-09-21 01:15:16+00",877,296.13142857142856,306.255
"2022-09-21 01:15:18+00",877,296.1333333333333,306.255
"2022-09-21 01:15:20+00",877,296.12428571428575,306.24
"2022-09-21 01:15:22+00",877,296.13199999999995,306.25
"2022-09-21 01:15:24+00",877,296.11285714285714,306.23
"2022-09-21 01:15:26+00",877,296.13599999999997,306.255
"2022-09-21 01:15:28+00",877,296.1333333333334,306.24
"2022-09-21 01:15:30+00",877,296.135,306.245
"2022-09-21 01:15:32+00",877,296.1233333333333,306.245
"2022-09-21 01:15:34+00",877,296.115,306.24
"2022-09-21 01:15:36+00",877,296.11800000000005,306.24
"2022-09-21 01:15:38+00",877,296.12166666666667,306.25
"2022-09-21 01:15:40+00",877,296.125,306.255
"2022-09-21 01:15:42+00",877,296.115,306.25
"2022-09-21 01:15:44+00",877,296.125,306.24
"2022-09-21 01:15:46+00",877,296.1285714285714,306.245
"2022-09-21 01:15:48+00",877,296.14500000000004,306.23
"2022-09-21 01:15:50+00",877,296.11833333333334,306.24
"2022-09-21 01:15:52+00",877,296.11400000000003,306.245
"2022-09-21 01:15:54+00",877,296.12,306.22
"2022-09-21 01:15:56+00",877,296.12000000000006,306.23
"2022-09-21 01:15:58+00",877,296.11400000000003,306.23
"2022-09-21 01:16:00+00",877,296.12,306.24
"2022-09-21 01:16:02+00",877,296.1166666666666,306.23
"2022-09-21 01:16:04+00",877,296.12,306.24
"2022-09-21 01:16:06+00",877,296.116,306.24
