# This file contains voltage measurements accross a 100 Ω shunt resistor driven by the digital current driver.
# KS34470A ACAL TEMP=+2.75075130E+01
# Log started at UTC: 2021-04-13T19:43:25+00:00
# Date,Value KS34470A
2021-04-13 20:13:15.603217,-1.02443943E+01
2021-04-13 20:13:19.657606,-1.02443935E+01
2021-04-13 20:13:23.712215,-1.02443948E+01
2021-04-13 20:13:27.766556,-1.02443952E+01
2021-04-13 20:13:31.821010,-1.02443937E+01
2021-04-13 20:13:35.875328,-1.02443960E+01
2021-04-13 20:13:39.929317,-1.02443957E+01
2021-04-13 20:13:43.983495,-1.02443959E+01
2021-04-13 20:13:48.037840,-1.02443961E+01
2021-04-13 20:13:52.091892,-1.02443959E+01
2021-04-13 20:13:56.147516,-1.02443947E+01
2021-04-13 20:14:00.205406,-1.02443954E+01
2021-04-13 20:14:04.262386,-1.02443958E+01
2021-04-13 20:14:08.319208,-1.02443954E+01
2021-04-13 20:14:12.374686,-1.02443948E+01
2021-04-13 20:14:16.430828,-1.02443953E+01
2021-04-13 20:14:20.486122,-1.02443963E+01
2021-04-13 20:14:24.541418,-1.02443953E+01
2021-04-13 20:14:28.596434,-1.02443950E+01
2021-04-13 20:14:32.651285,-1.02443945E+01
2021-04-13 20:14:36.706305,-1.02443950E+01
2021-04-13 20:14:40.761236,-1.02443957E+01
2021-04-13 20:14:44.816209,-1.02443963E+01
2021-04-13 20:14:48.871324,-1.02443957E+01
2021-04-13 20:14:52.926608,-1.02443956E+01
2021-04-13 20:14:56.980866,-1.02443963E+01
2021-04-13 20:15:01.035208,-1.02443964E+01
2021-04-13 20:15:05.089900,-1.02443968E+01
2021-04-13 20:15:09.144097,-1.02443968E+01
2021-04-13 20:15:13.198706,-1.02443968E+01
2021-04-13 20:15:17.253919,-1.02443962E+01
2021-04-13 20:15:21.308673,-1.02443962E+01
2021-04-13 20:15:25.363895,-1.02443955E+01
2021-04-13 20:15:29.418587,-1.02443955E+01
2021-04-13 20:15:33.473844,-1.02443955E+01
2021-04-13 20:15:37.527543,-1.02443954E+01
2021-04-13 20:15:41.581504,-1.02443959E+01
2021-04-13 20:15:45.635778,-1.02443968E+01
2021-04-13 20:15:49.690303,-1.02443954E+01
2021-04-13 20:15:53.744680,-1.02443962E+01
2021-04-13 20:15:57.882438,-1.02443962E+01
2021-04-13 20:16:01.937541,-1.02443966E+01
2021-04-13 20:16:05.992729,-1.02443964E+01
2021-04-13 20:16:10.046970,-1.02443965E+01
2021-04-13 20:16:14.101192,-1.02443966E+01
2021-04-13 20:16:18.155414,-1.02443960E+01
2021-04-13 20:16:22.209967,-1.02443951E+01
2021-04-13 20:16:26.264106,-1.02443963E+01
2021-04-13 20:16:30.318603,-1.02443957E+01
2021-04-13 20:16:34.372942,-1.02443953E+01
2021-04-13 20:16:38.427251,-1.02443957E+01
2021-04-13 20:16:42.481586,-1.02443966E+01
2021-04-13 20:16:46.536132,-1.02443962E+01
