"time","output","temperature room","temperature labnode"
"2022-09-24 09:11:02+00",570,296.155,307.21
"2022-09-24 09:11:04+00",570,296.16499999999996,307.195
"2022-09-24 09:11:06+00",570,296.16499999999996,307.2
"2022-09-24 09:11:08+00",570,296.17,307.185
"2022-09-24 09:11:10+00",570,296.16499999999996,307.195
"2022-09-24 09:11:12+00",570,296.175,307.19
"2022-09-24 09:11:14+00",570,296.175,307.2
"2022-09-24 09:11:16+00",570,296.185,307.2
"2022-09-24 09:11:18+00",570,296.185,307.2
"2022-09-24 09:11:20+00",570,296.175,307.19
"2022-09-24 09:11:22+00",570,296.18,307.195
"2022-09-24 09:11:24+00",570,296.15999999999997,307.2
"2022-09-24 09:11:26+00",570,296.175,307.19
"2022-09-24 09:11:28+00",570,296.17499999999995,307.195
"2022-09-24 09:11:30+00",570,296.16499999999996,307.195
"2022-09-24 09:11:32+00",570,296.19,307.2
"2022-09-24 09:11:34+00",570,296.15999999999997,307.195
"2022-09-24 09:11:36+00",570,296.18,307.195
"2022-09-24 09:11:38+00",570,296.205,307.19
"2022-09-24 09:11:40+00",570,296.19,307.205
"2022-09-24 09:11:42+00",570,296.175,307.195
"2022-09-24 09:11:44+00",570,296.185,307.195
"2022-09-24 09:11:46+00",570,296.16499999999996,307.20500000000004
"2022-09-24 09:11:48+00",570,296.17,307.2
"2022-09-24 09:11:50+00",570,296.175,307.21
"2022-09-24 09:11:52+00",570,296.16499999999996,307.205
"2022-09-24 09:11:54+00",570,296.15,307.205
"2022-09-24 09:11:56+00",570,296.175,307.21
"2022-09-24 09:11:58+00",570,296.175,307.21
"2022-09-24 09:12:00+00",570,296.175,307.205
"2022-09-24 09:12:02+00",570,296.15999999999997,307.2
"2022-09-24 09:12:04+00",570,296.18,307.21500000000003
"2022-09-24 09:12:06+00",570,296.16499999999996,307.21
"2022-09-24 09:12:08+00",570,296.21,307.21500000000003
"2022-09-24 09:12:10+00",570,296.175,307.21
"2022-09-24 09:12:12+00",570,296.175,307.21000000000004
"2022-09-24 09:12:14+00",570,296.18,307.225
"2022-09-24 09:12:16+00",570,296.19,307.22
"2022-09-24 09:12:18+00",570,296.195,307.225
"2022-09-24 09:12:20+00",570,296.175,307.21500000000003
"2022-09-24 09:12:22+00",570,296.19,307.225
"2022-09-24 09:12:24+00",570,296.17999999999995,307.23
"2022-09-24 09:12:26+00",570,296.19,307.22
"2022-09-24 09:12:28+00",570,296.175,307.21
"2022-09-24 09:12:30+00",570,296.19,307.21500000000003
"2022-09-24 09:12:32+00",570,296.2,307.2
"2022-09-24 09:12:34+00",570,296.19,307.21500000000003
"2022-09-24 09:12:36+00",570,296.175,307.21
"2022-09-24 09:12:38+00",570,296.18,307.21
"2022-09-24 09:12:40+00",570,296.19,307.21500000000003
"2022-09-24 09:12:42+00",570,296.185,307.205
"2022-09-24 09:12:44+00",570,296.205,307.225
"2022-09-24 09:12:46+00",570,296.175,307.22
"2022-09-24 09:12:48+00",570,296.19,307.22
"2022-09-24 09:12:50+00",570,296.205,307.22
"2022-09-24 09:12:52+00",570,296.175,307.225
"2022-09-24 09:12:54+00",570,296.19,307.23
"2022-09-24 09:12:56+00",570,296.175,307.225
"2022-09-24 09:12:58+00",570,296.185,307.225
"2022-09-24 09:13:00+00",570,296.19,307.22
"2022-09-24 09:13:02+00",570,296.185,307.23
"2022-09-24 09:13:04+00",570,296.175,307.235
"2022-09-24 09:13:06+00",570,296.18,307.23
"2022-09-24 09:13:08+00",570,296.175,307.23
"2022-09-24 09:13:10+00",570,296.185,307.225
"2022-09-24 09:13:12+00",570,296.16499999999996,307.23
"2022-09-24 09:13:14+00",570,296.175,307.225
"2022-09-24 09:13:16+00",570,296.185,307.225
"2022-09-24 09:13:18+00",570,296.175,307.22
"2022-09-24 09:13:20+00",570,296.15,307.22
"2022-09-24 09:13:22+00",570,296.19,307.22
"2022-09-24 09:13:24+00",570,296.185,307.225
"2022-09-24 09:13:26+00",570,296.185,307.23
"2022-09-24 09:13:28+00",570,296.175,307.225
"2022-09-24 09:13:30+00",570,296.17,307.23
"2022-09-24 09:13:32+00",570,296.175,307.24
"2022-09-24 09:13:34+00",570,296.19,307.235
"2022-09-24 09:13:36+00",570,296.16499999999996,307.235
"2022-09-24 09:13:38+00",570,296.185,307.24
"2022-09-24 09:13:40+00",570,296.195,307.23
"2022-09-24 09:13:42+00",570,296.19,307.24
"2022-09-24 09:13:44+00",570,296.19,307.24
"2022-09-24 09:13:46+00",570,296.17,307.235
"2022-09-24 09:13:48+00",570,296.175,307.225
"2022-09-24 09:13:50+00",570,296.2,307.225
"2022-09-24 09:13:52+00",570,296.175,307.23
"2022-09-24 09:13:54+00",570,296.17,307.235
"2022-09-24 09:13:56+00",570,296.175,307.235
"2022-09-24 09:13:58+00",570,296.16499999999996,307.23
"2022-09-24 09:14:00+00",570,296.19,307.23
"2022-09-24 09:14:02+00",570,296.185,307.21500000000003
"2022-09-24 09:14:04+00",570,296.185,307.225
"2022-09-24 09:14:06+00",570,296.195,307.22
"2022-09-24 09:14:08+00",570,296.205,307.21500000000003
"2022-09-24 09:14:10+00",570,296.19,307.22
"2022-09-24 09:14:12+00",570,296.195,307.22
"2022-09-24 09:14:14+00",570,296.2,307.225
"2022-09-24 09:14:16+00",570,296.20500000000004,307.21500000000003
"2022-09-24 09:14:18+00",570,296.195,307.22
"2022-09-24 09:14:20+00",570,296.19,307.22
"2022-09-24 09:14:22+00",570,296.195,307.22
"2022-09-24 09:14:24+00",570,296.17,307.22
"2022-09-24 09:14:26+00",570,296.195,307.225
"2022-09-24 09:14:28+00",570,296.19,307.21500000000003
"2022-09-24 09:14:30+00",570,296.19,307.21500000000003
"2022-09-24 09:14:32+00",570,296.205,307.21500000000003
"2022-09-24 09:14:34+00",570,296.175,307.21000000000004
"2022-09-24 09:14:36+00",570,296.205,307.2
"2022-09-24 09:14:38+00",570,296.18,307.195
"2022-09-24 09:14:40+00",570,296.205,307.205
"2022-09-24 09:14:42+00",570,296.19,307.21
"2022-09-24 09:14:44+00",570,296.19,307.21
"2022-09-24 09:14:46+00",570,296.19,307.21
"2022-09-24 09:14:48+00",570,296.20500000000004,307.205
"2022-09-24 09:14:50+00",570,296.195,307.205
"2022-09-24 09:14:52+00",570,296.19,307.21
"2022-09-24 09:14:54+00",570,296.17,307.21500000000003
"2022-09-24 09:14:56+00",570,296.18,307.22
"2022-09-24 09:14:58+00",570,296.185,307.21
"2022-09-24 09:15:00+00",570,296.17999999999995,307.21
"2022-09-24 09:15:02+00",570,296.18,307.205
"2022-09-24 09:15:04+00",570,296.21500000000003,307.205
"2022-09-24 09:15:06+00",570,296.195,307.205
"2022-09-24 09:15:08+00",570,296.19,307.2
"2022-09-24 09:15:10+00",570,296.185,307.2
"2022-09-24 09:15:12+00",570,296.195,307.21
"2022-09-24 09:15:14+00",570,296.205,307.21500000000003
"2022-09-24 09:15:16+00",570,296.195,307.205
